v1,v2
use,"Es conocida también como guerra de la Oreja de Jenkins por influencia británica.1​ La denominación empleada por la historiografía inglesa (War of Jenkins' Ear) se debe al episodio considerado casus belli: el apresamiento frente a las costas de Florida por el guardacostas español La Isabela del navío británico Rebecca, capitaneado por Robert Jenkins, en 1731. Según el testimonio de Jenkins, que compareció ante la Cámara de los Comunes en 1738, como parte de una campaña belicista por parte de la oposición parlamentaria en contra del primer ministro Walpole, el capitán español Juan León Fandiño, que apresó la nave, ató a Jenkins al mástil de su propio barco y de un certero tajo con su espada le cortó una oreja al tiempo que le decía —según el testimonio del inglés—: «Ve y di a tu rey que lo mismo le haré si a lo mismo se atreve», luego lo dejó marchar, después de desarmar y saquear su barco."
use,"En el Caribe el conflicto se conoció como guerra de Italia. Este nombre se debe a que, para España, esta guerra entroncó con la de Sucesión Austríaca y fue en Italia donde se desarrollaron las principales acciones españolas."
non,Cartas Directo Guerra Rusia-Ucrania: la última hora del conflicto Noveno día paro de los transportistas: el gran consumo pide medidas urgentes Suscriptor - Santiago García-Tornel
non,"Francesc X. Hernández CardonaCat. Didàctica Ciències Socials UB © La Vanguardia Ediciones, SLU Todos los derechos reservados. Nouvelle série InícioNuméros36-1"
use,"La política es el conjunto de actividades que se asocian con la toma de decisiones en grupo, u otras formas de relaciones de poder entre individuos, como la distribución de recursos o el estatus. También es el arte, doctrina o práctica referente al gobierno de los Estados, promoviendo la participación ciudadana al poseer la capacidad de distribuir y ejecutar el poder según sea necesario para garantizar el bien común en la sociedad."
use,"Puede usarse positivamente en el contexto de una ""solución política"" que sea comprometedora y no violenta, o descriptivamente como ""el arte o la ciencia del gobierno"", pero a menudo también tiene una connotación negativa. Por ejemplo, el abolicionista Wendell Phillips declaró que ""no jugamos a la política; la lucha contra la esclavitud no es una broma para nosotros"". El concepto se ha definido de diversas maneras, y los diferentes enfoques tienen puntos de vista fundamentalmente diferentes sobre si debe usarse de manera extensiva o limitada, empírica o normativa, y sobre si el conflicto o la cooperación son más esenciales para él. La política es la ciencia del poder y la capacidad de una persona o un grupo de personas de influir sobre la voluntad de los demás aun estando en contra de su propia voluntad."
use,"En la política se implementan una variedad de métodos, que incluyen promover las propias opiniones políticas entre las personas, negociar con otros sujetos políticos, hacer leyes y ejercer la fuerza, incluida la guerra contra los adversarios. La política se ejerce en una amplia gama de niveles sociales, desde clanes y tribus de sociedades tradicionales, pasando por gobiernos locales, empresas, instituciones modernas y estados soberanos, hasta el nivel internacional. En los estados nacionales modernos, la gente a menudo forma partidos políticos para representar sus ideas. Los miembros de un partido acuerdan adoptar la misma posición en muchos temas y aceptan apoyar proyectos de ley y sus líderes. Una elección suele ser una competencia entre diferentes partidos. Un sistema político es el marco que define métodos políticos aceptables dentro de una sociedad."
use,"La ciencia política constituye una rama de las ciencias sociales que se ocupa de la actividad en virtud de la cual una sociedad, compuesta por seres humanos libres, resuelve los problemas que le plantea su convivencia colectiva."
use,"La democracia (del latín tardío democratĭa, y este del griego dēmokratía) es una manera de organización social que atribuye la titularidad del poder al conjunto de la ciudadanía. En sentido estricto, la democracia es una forma de organización del Estado en la cual las decisiones colectivas son adoptadas por el pueblo mediante mecanismos de participación directa o indirecta que confieren legitimidad a sus representantes."
use,"En sentido amplio, democracia es una forma de convivencia social en la que los miembros son libres e iguales y las relaciones sociales se establecen conforme a mecanismos contractuales."
use,"La democracia se puede definir a partir de la clasificación de las formas de gobierno realizada por Platón, primero, y Aristóteles, después, en tres tipos básicos: monarquía (gobierno de uno), aristocracia (gobierno «de los mejores» para Platón, «de los menos», para Aristóteles), democracia (gobierno «de la multitud» para Platón y «de los más», para Aristóteles)."
use,La disputa sobre el nombre de Macedonia fue un conflicto entre Grecia y la Antigua República Yugoslava de Macedonia (actual República de Macedonia del Norte) causado por el desacuerdo entre las dos países por el uso del término Macedonia. El Gobierno griego se oponía al uso de dicha denominación por parte del Estado exyugoslavo debido a la ambigüedad que este término crea entre la República de Macedonia y la región griega de Macedonia.
use,El Gobierno heleno también objetaba el uso del término «macedonio» para la lengua eslava hablada en la antigua república yugoslava sin la especificidad entre el pueblo macedonio y el idioma. Esta disputa se intensificó al punto de requerir mediación internacional por parte de la Organización de las Naciones Unidas.
use,"Frecuentemente se empleó la referencia provisional «Antigua República Yugoslava de Macedonia» (ARYM por sus siglas en español, FYROM por las siglas en inglés de Former Yugoslav Republic of Macedonia) por parte de aquellos países que no reconocían el nombre constitucional República de Macedonia. Pese a ello, la Asamblea General de las Naciones Unidas aceptará cualquier conclusión que acabe con la disputa entre ambos países. El debate causado por las posturas de ambas naciones ha involucrado la participación de políticos, académicos y medios de comunicación."
use,"Periódicamente se intentaba una serie de negociaciones para la resolución de la disputa, incluyendo la cumbre de la OTAN de 2008 en Bucarest. Sin embargo, estos propósitos de resolver la contienda fracasaban, bloqueando el ingreso de Macedonia a la OTAN debido al veto por parte de Grecia."
use,"Durante un ciclo de negociaciones entre las partes enfrentadas, el 12 de junio de 2018 Grecia y la entonces República de Macedonia certificaron que lograron un acuerdo por el cual esta última pasaría a denominarse oficialmente «República de Macedonia del Norte», lo cual se concretaría con la aprobación de los parlamentos de ambas partes y el desarrollo de un referéndum sobre el nuevo nombre en la República de Macedonia del Norte."
use,"Admitido por ambos parlamentos y autorizado por plebiscito, la antigua república yugoslava oficializó su cambio de nombre y el 13 de febrero de 2019 Naciones Unidas anunció que aceptó el acuerdo entre Grecia y Macedonia del Norte sobre el cambio de nombre de este último. Con esto Macedonia del Norte despeja el camino para una futura adhesión a la Unión Europea y a la OTAN."
use,"Nicolás Maquiavelo (en italiano: Niccolò di Bernardo dei Machiavelli ; Florencia; 3 de mayo de 1469 - Ibidem; 21 de junio de 1527) fue un diplomático, funcionario, filósofo político y escritor italiano, considerado padre de la Ciencia Política moderna.1​ Fue así mismo una figura relevante del Renacimiento italiano. En 1513 escribió su tratado de doctrina política titulado El príncipe, póstumamente publicado en Roma en 1531."
use,"Nació en el pequeño pueblo de San Casciano in Val di Pesa, a unos 15 km de Florencia, el 3 de mayo de 1469, hijo de Bernardo Machiavelli, un abogado perteneciente a una empobrecida rama de una antigua familia influyente de Florencia, y de Bartolomea di Stefano Nelli, ambos de familias cultas y de orígenes nobiliarios, pero con pocos recursos a causa de las deudas del padre."
use,"Entre 1498 y 1512 estuvo a cargo de una oficina pública y visitó varias cortes en Francia, Alemania y otras ciudades-estado italianas en misiones diplomáticas. En 1512 fue encarcelado por un breve periodo en Florencia, y después fue exiliado y despachado a San Casciano. Murió en Florencia en 1527 y fue sepultado en la Santa Cruz.2​"
non,"Bagú, Sergio, “La historia social”, en Raúl Benítez Centeno y Gilberto Silva Ruíz (comps.), El desarrollo, 1984, pp. 35-42. Cardoso, Ciro y Héctor Pérez Brignoli, Perspectivas de la historiografía contemporánea, México, Secretaría de Educación Pública (Sep-setentas, 280), 1976. Cockcroft, Jameir D., Precursores intelectuales de la revolución mexicana (1900-1913), 8a. ed., Siglo XXI Editores, 1982. Córdova, Arnaldo, “La historia, maestra de la política”, en Carlos Pereyra et al., Historia, 1988, pp. 129-143. Duby, Georges, “La historia social como síntesis”, en Ciro F. S. Cardoso y Héctor Pérez Brignoli,"
non,"Perspectivas, 1976, pp. 91-102. Duverger, Maurice, Los partidos políticos, México, Fondo de Cultura Económica, 1957. Florescano, Enrique y Ricardo Pérez Montfort (comps.), Historiadores de México en el siglo XX, México, Consejo Nacional para la Cultura y las Artes/Fondo de Cultura Económica, 1995. Giiky, Adolfo, La revolución interrumpida. México, 1910-1920: una guerra campesina por la tierra y el poder, 26a. ed., México, Ediciones El Caballito, 1971. González y González, Luis, “La historiografía que nos rodea”, en Horacio Crespo et al., El Historiador, 1992, pp. 29-38. Gortari, Hira de, “La historiografía mexicana”, en Raúl Benítez Centeno y Gilberto Silva Ruíz (comps.), Desarrollo, 1984, pp. 43-48. Gruzinski, Serge, “Testimonios”, en Enrique Florescano y Ricardo Pérez Montfort (comps.), Historiadores, 1995, pp. 537-539. Matute, Álvaro,"
non,"Historia política”, en Horacio Crespo et al., El historiador, 1992, pp. 69-78. Pereyra, Carlos et al., Historia ¿para qué?, 10a. ed., México, Siglo XXI, 1988. Ruiz, Ramón Eduardo, México: la gran rebelión. 1905/1924, México, Era, 1984. Ruiz, Ramón Eduardo, La revolución mexicana y el movimiento obrero. 1911-1923, México, Ediciones Era, [1976, 1a. ed. en inglés], 1978. Vargas, Hugo, “Intelectuales, poder, cultura”, La Jornada Semanal, 19 de septiembre de 1993, núm.223, pp.18-24. Vilar, Pierre, “Historia marxista, historia en construcción. Ensayo de diálogo con Althusser”, en Ciro Cardoso y Héctor Pérez Brignoli, Perspectivas, 1976, pp. 103-159. Signos Históricos: año 24, núm. 47 enero-junio, 2022, es una publicación semestral editada por la Universidad Autónoma Metropolitana, a través de la Unidad Iztapalapa, División de Ciencias Sociales y Humanidades,"
non,"Departamento de Filosofía, Prolongación Canal de Miramontes núm. 3855, Col. Ex-Hacienda San Juan de Dios, Del. Tlalpan, C.P. 14387, Ciudad de México, y Av. San Rafael Atlixco, núm. 186, Col. Vicentina, Del. Iztapalapa, C.P. 09340, Ciudad de México, Teléfono 58-04-46-00, ext. 2786. Página electrónica de la revista: [https://signoshistoricos.izt.uam.mx],"
non,"correo electrónico shis@xanum.uam.mx. Editora Responsable: María Guadalupe Rodríguez Sánchez. Certificado de Reserva de Derechos al Uso Exclusivo del Título número 04-2002-062913255600-102, ISSN: 1665-4420, ambos otorgados por el Instituto Nacional del Derecho de Autor. Certificado de Licitud de Título número 12151 y Certificado de Licitud de Contenido número 8804, ambos otorgados por la Comisión Calificadora de Publicaciones y Revistas Ilustradas de la Secretaría de Gobernación. AVANCE EN LÍNEA"
non,"En este espacio se irán publicando los textos de forma previa a su inclusión en alguno de los números de la revista Historia y Política nació en 1999. Es una publicación semestral con revisión por pares, fruto de la iniciativa de los departamentos de Historia del Pensamiento y de los Movimientos Sociales y Políticos, de la UCM, e Historia Social y del Pensamiento Político, de la UNED. Desde el año 2007 la revista la codirige y edita el Centro de Estudios Políticos y Constitucionales.La revista se propone abordar el fenómeno político en la historia desde el rigor académico y la renovación interpretativa que ofrecen las herramientas del análisis comparado y las diferentes ciencias sociales.Historia y Política proporciona acceso libre al texto completo de sus contenidos desde el mismo momento de su publicación"
non,"Historia y Política cumple con todos los criterios de calidad LATINDEX y está indizada en SCOPUS y la Web of Science: Social Sciences Citation Index (SSCI), Arts and Humanities Citation Index (AHCI) y Journal Citation Reports (JCR). También está incluida en ERIH PLUS y las bases de datos especializadas Historical Abstracts y America: History and Life. Sistema antiplagio Historia y Política p-ISSN 1575-0361 | e-ISSN 1989-063X | ISSN-L 1575-0361 © 2021. Universidad Complutense de MadridEdiciones Complutense Utilizamos cookies propias y de terceros para mejorar nuestros servicios y elaborar información estadística. Si continua navegando, consideramos que acepta su uso. Acceda a más información sobre la política de cookies. Historia y Política. Revista de Historia del Pensamiento y de los Movimientos Sociales, es un proyecto que responde a una iniciativa del Departamento de Historia del Pensamiento y de los Movimientos Sociales y Políticos, de la UCM, y del Departamento de Historia Social y del Pensamiento, de la... (Ver más...) © 2001-2022 Fundación Dialnet · Todos los derechos reservados Coordinado por: ',"
non,"Aron, Raymond, “Introducción” en Max Weber, El político y el científico, Madrid, Alianza, 1972, pp. 9-77. ', 'Benítez Centeno, Raúl y Gilberto Silva Ruíz (comps.)"
non,"los estudios de posgrado en México, México, Consejo Mexicano de Ciencias Sociales/Universidad Autónoma de México, 1984."
non,"Instituto de Investigaciones Históricas/Universidad Nacional Autónoma de México, 1992. ', 'MacGregor, Josefína, “Serge Gruzinski"
non,"Boletín. Filosofía y Letras, México, Facultad de Filosofía y Letras, Universidad Nacional Autónoma de México, enero-abril, núms. 1-2, pp.20-21"
non,Redes sociales
use,"El feminismo es un movimiento político y social, una teoría política y una perspectiva filosófica que postula el «principio de igualdad de derechos de la mujer y el hombre». El feminismo lucha por el reconocimiento de las mujeres como sujetos humanos y de derecho y sostiene que ningún ser humano debe ser privado de ningún bien o derecho a causa de su sexo. Busca conseguir que las mujeres tengan iguales libertades que los hombres y eliminar la dominación y violencia de los varones sobre las mujeres."
use,"Surgió alrededor del siglo XVIII con la publicación de la obra Vindicación de los derechos de la mujer, de Mary Wollstonecraft en 1792, y ha tenido un importante desarrollo teórico, político y filosófico desde entonces. El feminismo centra su análisis en el rol del patriarcado en estructurar las relaciones desiguales de poder entre varones y mujeres. El feminismo realiza una crítica de la visión androcéntrica de la sociedad, a la que busca transformar para conseguir sus objetivos de una sociedad más justa e igualitaria."
use,"Como movimiento social ha buscado promover los derechos de las mujeres, incluyendo derechos civiles y políticos como votar y ocupar cargos públicos; derechos económicos como recibir igual remuneración por igual tarea, ejercer las potestades propias del derecho privado, tales como suscribir contratos, derechos sociales como recibir una educación, ejercer sus derechos reproductivos y proteger a otras mujeres de diferentes formas de violencia como el abuso, el acoso sexual y la violencia doméstica. El feminismo además ha jugado un rol importante en denunciar y cambiar los estereotipos de género."
use,"A medida que el movimiento feminista adquirió relevancia en el mundo académico, fue generando un cuerpo teórico que ha dado lugar a la aparición de disciplinas como, por ejemplo, la geografía feminista, la historia del feminismo o los estudios de género. La filosofía política feminista sirve como campo para desarrollar nuevos ideales, prácticas y justificaciones sobre cómo deberían organizarse y reconstruirse las instituciones."
use,"Como movimiento social formado por grupos organizados, el feminismo se ha desarrollado históricamente en una sucesión de etapas o fases, a las se ha denominado «olas». En cada fase u «ola» se han desarrollado ideas y conceptos, teorías, estrategias, acciones y corrientes muy diversas, por lo que se utiliza, en algunos casos la noción de «feminismos» para denotar esa diversidad. Como movimiento de transformación de la sociedad, tiene una vocación de influencia sobre la forma en la que se conceptualiza la realidad y en el discurso científico."
use,"A lo largo de los años se han desarrollado numerosos movimientos e ideologías feministas que representan distintos puntos de vista y objetivos. Tradicionalmente, desde el siglo XIX, el feminismo liberal de la primera ola que buscaba la igualdad política y jurídica a través de reformas dentro del marco de la democracia liberal se contraponía a los movimientos de mujeres proletarias del movimiento obrero que, con el tiempo, se convirtieron en el feminismo socialista y el feminismo marxista basados en la teoría de la lucha de clases."
use,"Desde la década de 1960, ambas tradiciones se contraponen también al feminismo radical, que surgió del ala radical del de la segunda ola del feminismo y que reclama una reordenación radical de la sociedad para eliminar al supremacismo masculino. Estas tres corrientes se denominan a veces como las ""tres grandes"" escuelas de pensamiento feminista."
use,"Desde finales del siglo XX, han surgido muchas formas nuevas de feminismo, siendo algunas de las mismas criticadas por tener en cuenta únicamente las perspectivas de las mujeres blancas, de clase media y/o clase alta, con estudios universitarios, heterosexuales o cisgénero. Estas críticas han llevado a la creación de formas de feminismo étnicamente específicos o multiculturales, como el feminismo negro y el feminismo interseccional."
use,"La teoría feminista es la extensión del feminismo a los campos teóricos o filosóficos. Abarca el trabajo realizado en una amplia variedad de disciplinas, e incluye de manera prominente los enfoques en cuanto a los roles y vidas de las mujeres y la política feminista en la antropología y sociología, el psicoanálisis, la economía, los estudios de género y de mujeres, la crítica literaria feminista y la filosofía, especialmente, la continental."
use,"La teoría feminista tiene como fin la comprensión de la naturaleza de la desigualdad y se centra en las políticas de género, las relaciones de poder y la sexualidad. Mientras que generalmente la teoría feminista presenta una crítica de las relaciones sociales, una parte importante de la teoría feminista también analiza la desigualdad de género y la promoción de los derechos, intereses y asuntos de las mujeres. El feminismo explora temas como la historia del arte y el arte contemporáneo, la estética, la discriminación, los estereotipos, la cosificación (especialmente la cosificación sexual), la opresión y el patriarcado"
use,"Dionísia Gonçalves Pinto, más conocida por el pseudónimo de Nísia Floresta Brasileira Augusta (Papari, actual Nísia Floresta, Estado de Río Grande del Norte, 12 de octubre de 1810-Ruan, Francia, 24 de abril de 1885), fue una educadora, escritora y poeta brasileña. Es considerada una pionera del feminismo en el Brasil y fue probablemente la primera mujer en romper los límites entre los espacios públicos y privados, publicando textos en periódicos, en una época en que la prensa nacional era primitiva. Nísia también dirigió un colegio para niñas en Río de Janeiro; y escribió libros en defensa de los derechos de las mujeres, de los pueblos originarios y de los esclavos"
non,loading...
non,Accede con Facebook ¿Cuál es tu email? Accede con Facebook ¿Cuál es tu email? Inicio / Tipo de contenido / Galerías Inicio / Palabras Clave
non,Fuente: Archivo Nacional Archivo Nacional. Entre el 7 de marzo y el 31 de mayo de 2019
non,"Ver mapa © Servicio Nacional del Patrimonio Cultural ',"
non,"Santiago, Chile. Ver mapa © Servicio Nacional del Patrimonio Cultural ',"
non,Tel: +56229978511 | E-mail:
non,Tel: +56229978511 | E-mail: archivo.nacional@archivonacional.gob.cl'
use,"LGBT o LGTB es la sigla compuesta por las iniciales de las palabras Lesbianas, Gais, Bisexuales y Transgénero. En sentido estricto, agrupa a las personas con las orientaciones sexuales e identidades de género relativas a esas cuatro palabras, así como las comunidades formadas por ellas. La expresión tuvo su origen en el idioma inglés en los años noventa, pero estas iniciales coinciden en varios idiomas, entre ellos el español."
use,"El término ha sido resultado de una evolución en la que se fueron agregando letras con el fin de incluir a diversas comunidades discriminadas por su identidad sexual. Inicialmente se utilizaba la expresión «homosexual» o «gay», pero algunas organizaciones de personas lesbianas y bisexuales la cuestionaron como insuficiente, dando paso a la creación de la sigla «LGB»."
use,Posteriormente las personas transexuales hicieron una crítica similar dando origen a la sigla «LGBT». El orden de las letras dentro de la sigla puede variar según el uso de cada comunidad o de cada país.
use,"En los últimos años han surgido nuevas ampliaciones de la sigla con el fin de incluir a otras comunidades, como a las personas intersexuales (LGBTI), queer (LGBTQ), asexuales (LGBTA) y kink dando origen a la sigla LGBTQIAK, entre otras. También las comunidades de personas transexuales y transgénero han sostenido que no corresponde fusionarlas en una sola letra, escribiendo la sigla con doble te (LGBTT). Esta tendencia a adicionar letras para incluir nuevas comunidades y disidencias, ha dado lugar también a la utilización del signo más a continuación de la sigla (LGBT+)."
use,"Dentro de esta tendencia progresiva, la sigla «LGBT» ha adquirido un sentido amplio, abarcando también a las comunidades no incluidas en esas cuatro letras, enfatizando la diversidad sexual y de identidades de género, incluyendo a las personas que tienen un sexo, una orientación sexual o un género no aceptados por la heteronorma y el binarismo tradicionales, en lugar de aplicarlo exclusivamente a personas que se definen como lesbianas, gais, bisexuales o transexuales."
use,"La Revuelta de Stonewall consistió en una serie de manifestaciones espontáneas y violentas en protesta contra una redada policial que tuvo lugar en la madrugada del 28 de junio de 1969, en el pub conocido como Stonewall Inn, ubicado en el barrio neoyorquino de Greenwich Village. Frecuentemente se citan estos disturbios como la primera ocasión, en la historia de Estados Unidos, en que la comunidad LGBT luchó contra un sistema que perseguía a personas no normativas (LGBT, personas racializadas...) con el beneplácito del gobierno, y son generalmente reconocidos como el catalizador del movimiento moderno pro-derechos LGBT en Estados Unidos y en todo el mundo."
use,"Durante las décadas de 1950 y 1960 las lesbianas, gais, bisexuales y transexuales estadounidenses debían enfrentarse a un sistema legal hostil con las personas LGBT . Los primeros grupos homófilos de EE. UU. intentaron demostrar que las personas homosexuales eran parte de la sociedad, y fomentaron una cultura de no confrontación entre homosexuales y heterosexuales. Sin embargo, los últimos años de la década de 1960 fueron muy turbulentos, ya que había muchos movimientos sociales activos, tales como el movimiento afroamericano por los derechos civiles, la contracultura de los 60, el movimiento hippie y las manifestaciones contra la guerra de Vietnam. Este clima beligerante, junto al ambiente liberal de Greenwich Village, influyó para que se produjeran los disturbios de Stonewall."
use,"ran pocos los establecimientos que acogían a personas abiertamente homosexuales durante las décadas de 1950 y 1960. Los que sí lo hacían eran generalmente bares, aunque sus propietarios y administradores raramente eran gais. El Stonewall Inn, en aquella época, era propiedad de la mafia. Servía a gran variedad de clientes, pero era conocido por ser popular entre las personas más marginadas de la comunidad: transexuales, drag queens, jóvenes afeminados, prostitutos masculinos y jóvenes sin techo."
use,"Las redadas policiales en los bares gais eran algo rutinario durante la década de 1960, pero los agentes de policía perdieron repentinamente el control de la situación en el Stonewall Inn y atrajeron a una muchedumbre, provocando que se rebelasen. La tensión entre la policía de Nueva York y los residentes gais de Greenwich Village produjo más protestas la siguiente tarde, y sucesivamente varias noches después. En cuestión de semanas, los residentes del Village rápidamente se organizaron en grupos de activistas para concentrar esfuerzos en aras de establecer lugares para que gais y lesbianas pudieran manifestar abiertamente su orientación sexual sin miedo a ser arrestados."
use,"Agenda homosexual (también denominada agenda gay) es un término acuñado por algunos conservadores sociales en los Estados Unidos para hacer referencia a la supuesta existencia de un programa (oculto) de la comunidad LGBT cuyo objetivo sería incrementar la aceptación de sus postulados a través de políticas, de visibilidad en los medios de comunicación y de cambio cultural con la finalidad de socavar los valores de la «familia»."
use,"El término es empleado frecuentemente por ciertos conservadores sociales en los debates acerca de la situación de los derechos LGBT en los Estados Unidos. Su empleo, con las mismas connotaciones, se ha extendido a otros países, incluyendo España, República Dominicana, Argentina y México."
use,"Algunos piensan que esta agenda es secreta por alusión a hidden agenda (‘plan secreto’). Por lo tanto, «agenda gay», término que es usado tanto en español como en inglés, puede interpretarse como ‘plan oculto de los gais’ y se traduce también por «propaganda homosexual» o «propaganda gay». El término resulta ofensivo para muchos, especialmente para aquellos que consideran y entienden los objetivos de este movimiento como un tema de igualdad de derechos. En ciertas ocasiones, personas que se sentirían ofendidas si el término se empleara en un contexto serio lo han empleado de manera sarcástica o satírica."
use,"Las leyes «no promo homo» (del inglés «no promocionar la homosexualidad») son una serie de leyes aprobadas por varios estados norteamericanos que prohíben o limitan la mención y la discusión de forma positiva de la homosexualidad y la transexualidad en las escuelas, incluyendo temas como la salud sexual y la prevención del VIH."
use,"En teoría, estas leyes se refieren a los temas discutidos dentro de la asignatura de educación sexual, pero a menudo están redactadas de tal forma que pueden ser aplicadas a otras partes del currículo y a programas y eventos escolares o extracurriculares, como por ejemplo las Gay-Straight Alliances."
use,"Estas leyes son muy similares a la «sección 28» introducida por el gobierno de Margaret Thatcher el 24 de mayo de 1988, que prohibía a las autoridades locales «promocionar intencionadamente la homosexualidad o publicar material con la intención de promocionar la homosexualidad» y «promocionar la enseñanza de la aceptabilidad de la homosexualidad como una supuesta relación familiar en cualquier escuela subvencionada»."
use,"La ley permaneció vigente hasta 2003, pero incluso en 2013 algunos colegios concertados seguían manteniendo políticas similares. También es similar la Ley rusa contra la propaganda homosexual."
non,Junior Report Directo Guerra Rusia-Ucrania: la última hora del conflicto Noveno día paro de los transportistas: el gran consumo pide medidas urgentes
non,"© La Vanguardia Ediciones, SLU Todos los derechos reservados. © 2022 Cable News Network. A Warner Media Company. All Rights Reserved. CNN Sans ™ & © 2022 Cable News Network. {{post_modal.contenido}} VER MÁS 2019 VER MÁS 2018"
non,© La Vanguardia Ediciones
non,SLU Todos los derechos reservados.
non,© 2022 Cable News Network. A Warner Media Company. All Rights Reserved
non,VER MÁS 2019 VER MÁS 2018
non,"Para poder comentar debes estar registrado y haber iniciado sesión.¿Olvidaste la contraseña? Sigue a Tikitakas RUPTURAS MÚSICA Hogar El mejor perchero con estantes de Amazon para el cambio de armario en primavera Emagister Máster MBA en Administración y Dirección de Empresas. Aumenta tus oportunidades de trabajo ¡Ahora con 75% dto! Historia y eventos Historia y eventos por: Sarah Elizabeth Adler, AARP, actualizado el 21 de junio del 2021"
non,Para poder comentar debes estar registrado y haber iniciado sesión.
non,¿Olvidaste la contraseña?
non,Sigue a Tikitakas
non,RUPTURAS MÚSICA Hogar El mejor perchero con estantes de Amazon para el cambio de armario en primavera Emagister Máster MBA en Administración y Dirección de Empresas.
non,"Aumenta tus oportunidades de trabajo ¡Ahora con 75% dto! Historia y eventos Historia y eventos por: Sarah Elizabeth Adler, AARP, actualizado el 21 de junio del 2021"
non,Suscríbete a nuestro Boletín y recibe el contenido que te interesa en tu correo electrónico
non,@AytoAlcalaH. Alcalá
use,"El marxismo es una perspectiva teórica que, a la vez que un método de investigación, se centra en una interpretación materialista de la historia, y en los errores que se cometieron en el pasado. Una perspectiva dialéctica del cambio social y un análisis crítico del capitalismo y su transformación."
use,"Su desarrollo comenzó a mediados del siglo XIX con las monumentales contribuciones de Karl Marx y Friedrich Engels. El marxismo ha pretendido desarrollar una ciencia social unificada (historia, teoría sociológica, teoría económica, ciencia política y epistemología) para la comprensión de las sociedades divididas en clases y la fundamentación de una visión revolucionaria del cambio social que ha inspirado innumerables movimientos sociales y políticos en el mundo a través de la historia moderna."
use,"El análisis marxista enfatiza en el carácter determinante de las condiciones materiales - relaciones sociales y lugares en la producción- en la vida de las personas y en la conciencia que tienen sobre sí mismas y sobre el mundo. Dicha base material es considerada, en esta perspectiva, determinante en última instancia de otros fenómenos sociales, tales como las relaciones sociales y políticas, el derecho, la ideología o la moral."
use,"Socialismo del siglo XXI es un término político usado para describir una interpretación de los principios socialistas defendido primeramente por Heinz Dieterich Steffan en 1996 y más tarde por varios líderes latinoamericanos de Venezuela, Ecuador, Bolivia, Brasil y Nicaragua."
use,"El socialismo del siglo XXI afirma que tanto el capitalismo industrial de libre mercado como el socialismo del siglo XX han fracasado al resolver los problemas más urgentes de la humanidad, como la pobreza, el hambre, la explotación, la opresión económica, el sexismo, el racismo, la destrucción de los recursos naturales o la ausencia de una verdadera participación democrática."
use,"Su objetivo principal es lograr una sociedad democrática, participativa, socialista y sin clases sociales, teniendo en cuenta que las condiciones históricas y locales son únicas, implementando para ello procesos de planificación más descentralizados y participativos. El socialismo del siglo XXI contrasta con aplicaciones previas del socialismo en otros países, conteniendo elementos de democracia socialista y de revisionismo marxista."
non,sigue leyendo en el texto de hoy nos dedicaremos de lleno a hablar sobre ella
non,"colaboradores, en una traducción directa del inglés.', 'Tel. + 54 11 4631-8893 | politicasdelamemoria@cedinci.org'"
non,"Salvador Sigüenza Orozco Profesor-Investigado Centro de Investigaciones y Estudios Superiores en Antropología Social (CIESAS) Unidad Pacífico Sur, Oaxaca Recibido: 21 de abril de 2010 Aceptado: 14 de junio de 2010 Introducción Durante el año 2009 impartí el curso Sociedad y Estado en México a alumnos del primer semestre de la licenciatura en Relaciones Internacionales"
non,"entro de Investigaciones y Estudios Superiores en Antropología Social (CIESAS) Unidad Pacífico Sur, Oaxaca Recibido: 21 de abril de 2010 Aceptado: 14 de junio de 2010 Introducción"
non,"Durante el año 2009 impartí el curso Sociedad y Estado en México a alumnos del primer semestre de la licenciatura en Relaciones Internacionales,"
non,"El mismo grupo de alumnos aplicó un sencillo cuestionario para tratar de medir los conocimientos cívicos de la gente en la misma ciudad, el cual se empleó en personas con diferente grado de escolaridad (de primaria a universidad) y de prácticamente todas las edades."
non,El mismo grupo de alumnos aplicó un sencillo cuestionario
use,"El nacionalismo es la doctrina o filosofía política que propugna como valores fundamentales el bienestar, la preservación de los rasgos identitarios, la independencia en todos los órdenes, la prosperidad, y la gloria y lealtad a la nación propia."
use,"Se entiende por panamericanismo al movimiento diplomático, político, económico y social que busca crear, fomentar y ordenar las relaciones, la asociación y cooperación entre los estados de América en diversos ámbitos de interés común."
use,"Si bien inicialmente el propósito de liberalizar el intercambio comercial no se dio, sí se extendió la colaboración a una serie de áreas como la salud (Organización Panamericana de la Salud), geografía e historia (Instituto Panamericano de Geografía e Historia), derechos y cuidados de la infancia (Instituto Internacional Americano de Protección a la Infancia), derechos de la mujer (Comisión Interamericana de Mujeres), políticas indígenas (Instituto Indigenista Interamericano), agricultura (Instituto Interamericano de Ciencias Agrícolas) defensa continental colectiva (Tratado Interamericano de Asistencia Recíproca), ayuda económica (Banco Interamericano de Desarrollo) y derechos humanos (Corte Interamericana de Derechos Humanos), obras de infraestructura (Carretera Panamericana)."
use,"Así como una serie de preceptos diplomáticos y políticos en las relaciones entre los países, no siempre respetados o cumplidos como los siguientes: el arbitraje entre las partes, solución pacífica de los conflictos, la no intervención, igualdad de los estados en los organismos que integran y entre sus relaciones, decisiones por medio de resoluciones aprobadas por la mayoría."
